iter	Passed	Remaining
662	10119	5143
663	10132	5127
664	10145	5110
665	10157	5094
666	10171	5078
667	10183	5061
668	10197	5045
669	10209	5028
670	10222	5012
671	10235	4995
672	10248	4979
673	10263	4964
674	10276	4947
675	10290	4931
676	10303	4916
677	10317	4900
678	10331	4884
679	10345	4868
680	10359	4852
681	10373	4837
682	10386	4820
683	10399	4804
684	10416	4790
685	10429	4773
686	10440	4756
687	10452	4740
688	10466	4724
689	10480	4708
690	10492	4692
691	10507	4676
692	10524	4662
693	10539	4647
694	10555	4632
695	10568	4616
696	10582	4600
697	10595	4584
698	10611	4569
699	10625	4553
700	10640	4538
701	10656	4523
702	10672	4508
703	10688	4493
704	10702	4478
705	10718	4463
706	10732	4448
707	10747	4432
708	10763	4417
709	10777	4402
710	10793	4387
711	10806	4371
712	10820	4355
713	10836	4340
714	10853	4326
715	10869	4311
716	10884	4296
717	10900	4281
718	10913	4265
719	10927	4249
720	10942	4234
721	10957	4218
722	10970	4203
723	10985	4187
724	11000	4172
725	11015	4157
726	11031	4142
727	11046	4127
728	11063	4112
729	11080	4098
730	11095	4083
731	11109	4067
732	11124	4052
733	11139	4036
734	11154	4021
735	11169	4006
736	11185	3991
737	11200	3976
738	11216	3961
739	11231	3946
740	11246	3930
741	11260	3915
742	11273	3899
743	11286	3883
744	11300	3868
745	11311	3851
746	11324	3835
747	11336	3819
748	11349	3803
749	11363	3787
750	11377	3772
751	11389	3756
752	11403	3740
753	11416	3724
754	11429	3708
755	11441	3692
756	11453	3676
757	11466	3660
758	11479	3645
759	11492	3629
760	11506	3613
761	11517	3597
762	11530	3581
763	11543	3565
764	11557	3550
765	11570	3534
766	11584	3519
767	11596	3503
768	11607	3486
769	11620	3471
770	11633	3455
771	11646	3439
772	11659	3424
773	11672	3408
774	11685	3392
775	11697	3376
776	11712	3361
777	11725	3345
778	11738	3330
779	11752	3314
780	11764	3298
781	11777	3283
782	11788	3267
783	11801	3251
784	11814	3235
785	11826	3220
786	11839	3204
787	11854	3189
788	11867	3173
789	11880	3158
790	11894	3142
791	11905	3126
792	11920	3111
793	11934	3096
794	11946	3080
795	11959	3064
796	11972	3049
797	11985	3033
798	11997	3018
799	12010	3002
800	12022	2986
801	12036	2971
802	12049	2955
803	12063	2940
804	12074	2924
805	12085	2908
806	12097	2893
807	12110	2877
808	12125	2862
809	12137	2847
810	12149	2831
811	12162	2815
812	12174	2800
813	12186	2784
814	12199	2769
815	12212	2753
816	12224	2738
817	12235	2722
818	12249	2707
819	12261	2691
820	12272	2675
821	12285	2660
822	12297	2644
823	12311	2629
824	12325	2614
825	12338	2599
826	12351	2583
827	12363	2568
828	12376	2552
829	12388	2537
830	12401	2521
831	12413	2506
832	12425	2490
833	12437	2475
834	12450	2460
835	12462	2444
836	12474	2429
837	12488	2414
838	12501	2399
839	12514	2383
840	12527	2368
841	12542	2353
842	12555	2338
843	12567	2322
844	12580	2307
845	12593	2292
846	12606	2277
847	12618	2261
848	12633	2246
849	12646	2231
850	12658	2216
851	12670	2201
